bath_temp, bias_voltage, bias_line, band, data_path, note
9,0,all,all,sample_data/iv_and_noise/1632609170.dat,noise
9,IV 20 to 0,0,all,sample_data/iv_and_noise/1632609303_iv.npy,IV
9,IV 20 to 0,1,all,sample_data/iv_and_noise/1632609378_iv.npy,IV
9,IV 20 to 0,2,all,sample_data/iv_and_noise/1632609462_iv.npy,IV
9,IV 20 to 0,3,all,sample_data/iv_and_noise/1632609534_iv.npy,IV
9,IV 20 to 0,4,all,sample_data/iv_and_noise/1632609610_iv.npy,IV
9,IV 20 to 0,5,all,sample_data/iv_and_noise/1632609685_iv.npy,IV
9,IV 20 to 0,6,all,sample_data/iv_and_noise/1632609757_iv.npy,IV
9,IV 20 to 0,7,all,sample_data/iv_and_noise/1632609831_iv.npy,IV
9,IV 20 to 0,8,all,sample_data/iv_and_noise/1632609905_iv.npy,IV
9,IV 20 to 0,9,all,sample_data/iv_and_noise/1632609977_iv.npy,IV
9,IV 20 to 0,10,all,sample_data/iv_and_noise/1632610053_iv.npy,IV
9,IV 20 to 0,11,all,sample_data/iv_and_noise/1632610126_iv.npy,IV
11,0,all,all,sample_data/iv_and_noise/1632612751.dat,noise
11,IV 20 to 0,0,all,sample_data/iv_and_noise/1632612884_iv.npy,IV
11,IV 20 to 0,1,all,sample_data/iv_and_noise/1632612961_iv.npy,IV
11,IV 20 to 0,2,all,sample_data/iv_and_noise/1632613038_iv.npy,IV
11,IV 20 to 0,3,all,sample_data/iv_and_noise/1632613116_iv.npy,IV
11,IV 20 to 0,4,all,sample_data/iv_and_noise/1632613193_iv.npy,IV
11,IV 20 to 0,5,all,sample_data/iv_and_noise/1632613270_iv.npy,IV
11,IV 20 to 0,6,all,sample_data/iv_and_noise/1632613343_iv.npy,IV
11,IV 20 to 0,7,all,sample_data/iv_and_noise/1632613417_iv.npy,IV
11,IV 20 to 0,8,all,sample_data/iv_and_noise/1632613493_iv.npy,IV
11,IV 20 to 0,9,all,sample_data/iv_and_noise/1632613574_iv.npy,IV
11,IV 20 to 0,10,all,sample_data/iv_and_noise/1632613650_iv.npy,IV
11,IV 20 to 0,11,all,sample_data/iv_and_noise/1632613727_iv.npy,IV
13,0,all,all,sample_data/iv_and_noise/1632616676.dat,noise
13,IV 20 to 0,0,all,sample_data/iv_and_noise/1632616809_iv.npy,IV
13,IV 20 to 0,1,all,sample_data/iv_and_noise/1632616882_iv.npy,IV
13,IV 20 to 0,2,all,sample_data/iv_and_noise/1632616958_iv.npy,IV
13,IV 20 to 0,3,all,sample_data/iv_and_noise/1632617034_iv.npy,IV
13,IV 20 to 0,4,all,sample_data/iv_and_noise/1632617110_iv.npy,IV
13,IV 20 to 0,5,all,sample_data/iv_and_noise/1632617185_iv.npy,IV
13,IV 20 to 0,6,all,sample_data/iv_and_noise/1632617256_iv.npy,IV
13,IV 20 to 0,7,all,sample_data/iv_and_noise/1632617330_iv.npy,IV
13,IV 20 to 0,8,all,sample_data/iv_and_noise/1632617405_iv.npy,IV
13,IV 20 to 0,9,all,sample_data/iv_and_noise/1632617482_iv.npy,IV
13,IV 20 to 0,10,all,sample_data/iv_and_noise/1632617556_iv.npy,IV
13,IV 20 to 0,11,all,sample_data/iv_and_noise/1632617633_iv.npy,IV
15,0,all,all,sample_data/iv_and_noise/1632620578.dat,noise
15,IV 20 to 0,0,all,sample_data/iv_and_noise/1632620712_iv.npy,IV
15,IV 20 to 0,1,all,sample_data/iv_and_noise/1632620797_iv.npy,IV
15,IV 20 to 0,2,all,sample_data/iv_and_noise/1632620879_iv.npy,IV
15,IV 20 to 0,3,all,sample_data/iv_and_noise/1632620959_iv.npy,IV
15,IV 20 to 0,4,all,sample_data/iv_and_noise/1632621039_iv.npy,IV
15,IV 20 to 0,5,all,sample_data/iv_and_noise/1632621126_iv.npy,IV
15,IV 20 to 0,6,all,sample_data/iv_and_noise/1632621201_iv.npy,IV
15,IV 20 to 0,7,all,sample_data/iv_and_noise/1632621279_iv.npy,IV
15,IV 20 to 0,8,all,sample_data/iv_and_noise/1632621355_iv.npy,IV
15,IV 20 to 0,9,all,sample_data/iv_and_noise/1632621429_iv.npy,IV
15,IV 20 to 0,10,all,sample_data/iv_and_noise/1632621511_iv.npy,IV
15,IV 20 to 0,11,all,sample_data/iv_and_noise/1632621588_iv.npy,IV
17,0,all,all,sample_data/iv_and_noise/1632624555.dat,noise
17,IV 20 to 0,0,all,sample_data/iv_and_noise/1632624688_iv.npy,IV
17,IV 20 to 0,1,all,sample_data/iv_and_noise/1632624763_iv.npy,IV
17,IV 20 to 0,2,all,sample_data/iv_and_noise/1632624835_iv.npy,IV
17,IV 20 to 0,3,all,sample_data/iv_and_noise/1632624908_iv.npy,IV
17,IV 20 to 0,4,all,sample_data/iv_and_noise/1632624983_iv.npy,IV
17,IV 20 to 0,5,all,sample_data/iv_and_noise/1632625060_iv.npy,IV
17,IV 20 to 0,6,all,sample_data/iv_and_noise/1632625134_iv.npy,IV
17,IV 20 to 0,7,all,sample_data/iv_and_noise/1632625210_iv.npy,IV
17,IV 20 to 0,8,all,sample_data/iv_and_noise/1632625288_iv.npy,IV
17,IV 20 to 0,9,all,sample_data/iv_and_noise/1632625362_iv.npy,IV
17,IV 20 to 0,10,all,sample_data/iv_and_noise/1632625438_iv.npy,IV
17,IV 20 to 0,11,all,sample_data/iv_and_noise/1632625514_iv.npy,IV
19,0,all,all,sample_data/iv_and_noise/1632628804.dat,noise
19,IV 20 to 0,0,all,sample_data/iv_and_noise/1632628937_iv.npy,IV
19,IV 20 to 0,1,all,sample_data/iv_and_noise/1632629009_iv.npy,IV
19,IV 20 to 0,2,all,sample_data/iv_and_noise/1632629089_iv.npy,IV
19,IV 20 to 0,3,all,sample_data/iv_and_noise/1632629158_iv.npy,IV
19,IV 20 to 0,4,all,sample_data/iv_and_noise/1632629231_iv.npy,IV
19,IV 20 to 0,5,all,sample_data/iv_and_noise/1632629309_iv.npy,IV
19,IV 20 to 0,6,all,sample_data/iv_and_noise/1632629383_iv.npy,IV
19,IV 20 to 0,7,all,sample_data/iv_and_noise/1632629457_iv.npy,IV
19,IV 20 to 0,8,all,sample_data/iv_and_noise/1632629530_iv.npy,IV
19,IV 20 to 0,9,all,sample_data/iv_and_noise/1632629606_iv.npy,IV
19,IV 20 to 0,10,all,sample_data/iv_and_noise/1632629680_iv.npy,IV
