Band,Index,UFM Frequency
0,2,4012804000.0
0,3,4014784000.0
0,4,4016726000.0
0,5,4018746000.0
0,6,4020352000.0
0,7,4021874000.0
0,8,4024794000.0
0,10,4026334000.0
0,11,4028336000.0
0,12,4029266000.0
0,13,4031450000.0
0,14,4033140000.0
0,15,4035054000.0
0,16,4037422000.0
0,17,4043646000.0
0,18,4044528000.0
0,19,4046426000.0
0,20,4048486000.0
0,21,4050186000.0
0,22,4051990000.0
0,23,4053738000.0
0,24,4055908000.0
0,25,4057970000.0
0,28,4061594000.0
0,30,4064742000.0
0,31,4066424000.0
0,32,4068668000.0
0,33,4076610000.0
0,34,4077606000.0
0,35,4079106000.0
0,36,4080930000.0
0,37,4082466000.0
0,38,4084782000.0
0,39,4086526000.0
0,40,4088292000.0
0,41,4089784000.0
0,42,4091166000.0
0,43,4092620000.0
0,44,4094312000.0
0,45,4095648000.0
0,46,4097372000.0
0,47,4099382000.0
0,48,4101432000.0
0,49,4104042000.0
0,50,4109930000.0
0,51,4111300000.0
0,52,4113114000.0
0,53,4114590000.0
0,54,4116438000.0
0,55,4118540000.0
0,56,4120264000.0
0,57,4121924000.0
0,58,4123200000.0
0,59,4126358000.0
0,60,4127480000.0
0,61,4129352000.0
0,62,4131044000.0
0,63,4133158000.0
0,64,4135142000.0
0,65,4136312000.0
1,1,4136828000.0
1,2,4138398000.0
1,3,4140554000.0
1,4,4142252000.0
1,5,4144208000.0
1,6,4146162000.0
1,7,4147554000.0
1,8,4150436000.0
1,9,4151666000.0
1,10,4153296000.0
1,11,4155074000.0
1,12,4156752000.0
1,13,4158304000.0
1,14,4159930000.0
1,15,4161768000.0
1,16,4162840000.0
1,17,4167668000.0
1,18,4169802000.0
1,19,4171936000.0
1,20,4173874000.0
1,21,4175892000.0
1,22,4177650000.0
1,23,4179506000.0
1,24,4181762000.0
1,25,4183938000.0
1,26,4185138000.0
1,27,4186772000.0
1,28,4187930000.0
1,29,4190456000.0
1,30,4191798000.0
1,31,4193466000.0
1,32,4194934000.0
1,33,4198752000.0
1,34,4200878000.0
1,35,4203100000.0
1,36,4205182000.0
1,37,4206778000.0
1,38,4209062000.0
1,39,4210972000.0
1,40,4212792000.0
1,41,4214632000.0
1,42,4216810000.0
1,43,4218396000.0
1,44,4220162000.0
1,45,4221782000.0
1,46,4223148000.0
1,47,4225274000.0
1,48,4227126000.0
1,49,4229100000.0
1,50,4232398000.0
1,51,4234678000.0
1,52,4236846000.0
1,53,4238876000.0
1,54,4240978000.0
1,55,4242818000.0
1,56,4244462000.0
1,57,4246406000.0
1,58,4248104000.0
1,59,4250268000.0
1,60,4252100000.0
1,61,4253564000.0
1,62,4255074000.0
1,63,4256458000.0
1,64,4259062000.0
1,65,4260718000.0
2,0,4277618000.0
2,1,4279580000.0
2,2,4282458000.0
2,3,4283984000.0
2,4,4285386000.0
2,5,4287152000.0
2,6,4288930000.0
2,7,4290648000.0
2,8,4293232000.0
2,9,4294392000.0
2,10,4296072000.0
2,11,4297718000.0
2,12,4299394000.0
2,13,4301116000.0
2,14,4303080000.0
2,15,4305042000.0
2,16,4306948000.0
2,17,4310556000.0
2,18,4313444000.0
2,19,4315944000.0
2,20,4317402000.0
2,21,4318914000.0
2,22,4320650000.0
2,23,4322138000.0
2,24,4324574000.0
2,25,4326618000.0
2,26,4327472000.0
2,27,4329346000.0
2,28,4330972000.0
2,29,4332752000.0
2,30,4334632000.0
2,31,4336542000.0
2,32,4338440000.0
2,33,4343716000.0
2,34,4346310000.0
2,35,4347698000.0
2,36,4349312000.0
2,37,4350986000.0
2,38,4352792000.0
2,39,4354382000.0
2,40,4356194000.0
2,41,4358280000.0
2,42,4360006000.0
2,43,4361804000.0
2,44,4363484000.0
2,45,4365034000.0
2,46,4367056000.0
2,47,4369026000.0
2,48,4370844000.0
2,49,4373626000.0
2,50,4377958000.0
2,51,4379908000.0
2,52,4381340000.0
2,53,4382798000.0
2,54,4384052000.0
2,55,4386310000.0
2,56,4387698000.0
2,57,4389842000.0
2,58,4392018000.0
2,59,4393732000.0
2,60,4395562000.0
2,61,4397074000.0
2,62,4398826000.0
2,63,4400870000.0
2,64,4402722000.0
2,65,4404652000.0
3,0,4410554000.0
3,1,4412510000.0
3,2,4414874000.0
3,3,4417460000.0
3,4,4419114000.0
3,5,4421378000.0
3,6,4423536000.0
3,7,4425196000.0
3,8,4428408000.0
3,9,4429580000.0
3,10,4431020000.0
3,11,4432964000.0
3,12,4434712000.0
3,13,4436458000.0
3,14,4438378000.0
3,15,4440638000.0
3,16,4442634000.0
3,17,4443862000.0
3,18,4446382000.0
3,19,4448892000.0
3,20,4450990000.0
3,21,4452942000.0
3,22,4455224000.0
3,24,4459884000.0
3,25,4462116000.0
3,26,4463298000.0
3,27,4464692000.0
3,28,4466628000.0
3,29,4468366000.0
3,30,4470310000.0
3,31,4472394000.0
3,32,4474374000.0
3,33,4509484000.0
3,34,4512006000.0
3,35,4514530000.0
3,36,4517042000.0
3,37,4519270000.0
3,38,4521610000.0
3,39,4523132000.0
3,40,4524566000.0
3,41,4526844000.0
3,42,4528592000.0
3,43,4530350000.0
3,44,4532248000.0
3,45,4534172000.0
3,46,4535946000.0
3,47,4538326000.0
3,48,4540040000.0
3,49,4542834000.0
3,50,4543704000.0
3,51,4546122000.0
3,52,4549006000.0
3,53,4551184000.0
3,54,4553228000.0
3,55,4555126000.0
3,56,4556522000.0
3,57,4558442000.0
3,58,4560706000.0
3,59,4562278000.0
3,60,4564010000.0
3,61,4566082000.0
3,62,4567932000.0
3,63,4570042000.0
3,64,4572006000.0
3,65,4573930000.0
4,1,4575760000.0
4,2,4577816000.0
4,3,4580002000.0
4,4,4582044000.0
4,5,4583780000.0
4,6,4585798000.0
4,7,4588228000.0
4,8,4590002000.0
4,9,4593068000.0
4,10,4595688000.0
4,11,4597630000.0
4,12,4599852000.0
4,13,4602220000.0
4,14,4604868000.0
4,15,4607032000.0
4,16,4608832000.0
4,18,4611390000.0
4,19,4613538000.0
4,20,4615718000.0
4,22,4620048000.0
4,23,4621520000.0
4,24,4624320000.0
4,25,4626834000.0
4,26,4627492000.0
4,27,4629054000.0
4,28,4631302000.0
4,29,4633500000.0
4,30,4635958000.0
4,31,4638522000.0
4,32,4640550000.0
4,33,4644336000.0
4,34,4646526000.0
4,35,4648076000.0
4,36,4650256000.0
4,37,4652514000.0
4,38,4654914000.0
4,39,4656400000.0
4,40,4657878000.0
4,41,4660456000.0
4,42,4662600000.0
4,43,4664444000.0
4,44,4666576000.0
4,45,4668754000.0
4,46,4671070000.0
4,47,4673488000.0
4,48,4675292000.0
4,50,4678554000.0
4,51,4680280000.0
4,52,4682020000.0
4,53,4683934000.0
4,54,4686300000.0
4,55,4690202000.0
4,56,4692014000.0
4,57,4693146000.0
4,58,4696136000.0
