"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+009, -2.78125167974E-001, -6.35489788737E-001
+4.00002000200E+009, -2.82835548941E-001, -6.33462477040E-001
+4.00004000400E+009, -2.87540614927E-001, -6.31268174611E-001
+4.00006000600E+009, -2.92173246577E-001, -6.29156538251E-001
+4.00008000800E+009, -2.96943689287E-001, -6.27095575303E-001
+4.00010001000E+009, -3.01600606537E-001, -6.24941061310E-001
+4.00012001200E+009, -3.06439860726E-001, -6.22713415995E-001
+4.00014001400E+009, -3.11038897967E-001, -6.20432270750E-001
+4.00016001600E+009, -3.15660610128E-001, -6.18154272726E-001
+4.00018001800E+009, -3.20219150087E-001, -6.15843832689E-001
+4.00020002000E+009, -3.24706661589E-001, -6.13439036838E-001
+4.00022002200E+009, -3.29323148924E-001, -6.11073930504E-001
+4.00024002400E+009, -3.33854071730E-001, -6.08635063670E-001
+4.00026002600E+009, -3.38422390436E-001, -6.06204894830E-001
+4.00028002800E+009, -3.42922912508E-001, -6.03672604269E-001
+4.00030003000E+009, -3.47386534328E-001, -6.01161200305E-001
+4.00032003200E+009, -3.51821759846E-001, -5.98498581528E-001
+4.00034003400E+009, -3.56284463327E-001, -5.95934295031E-001
+4.00036003600E+009, -3.60711179350E-001, -5.93235880624E-001
+4.00038003800E+009, -3.65150072582E-001, -5.90652501312E-001
+4.00040004000E+009, -3.69632996725E-001, -5.87964136293E-001
+4.00042004200E+009, -3.73916017122E-001, -5.85197942835E-001
+4.00044004400E+009, -3.78289750279E-001, -5.82500551384E-001
+4.00046004600E+009, -3.82730984930E-001, -5.79713533385E-001
+4.00048004800E+009, -3.87038907871E-001, -5.76779250967E-001
+4.00050005001E+009, -3.91362967606E-001, -5.73964221546E-001
+4.00052005201E+009, -3.95626458764E-001, -5.71089982784E-001
+4.00054005401E+009, -3.99829531007E-001, -5.68205562784E-001
+4.00056005601E+009, -4.04091671106E-001, -5.65312989648E-001
+4.00058005801E+009, -4.08290111299E-001, -5.62203989156E-001
+4.00060006001E+009, -4.12496259886E-001, -5.59225921534E-001
+4.00062006201E+009, -4.16781782041E-001, -5.56230227521E-001
+4.00064006401E+009, -4.20955889932E-001, -5.53124261183E-001
+4.00066006601E+009, -4.25048986822E-001, -5.50004003013E-001
+4.00068006801E+009, -4.29072517098E-001, -5.46873119934E-001
+4.00070007001E+009, -4.33145487659E-001, -5.43723854233E-001
+4.00072007201E+009, -4.37186172059E-001, -5.40497609637E-001
+4.00074007401E+009, -4.41163226198E-001, -5.37260065738E-001
+4.00076007601E+009, -4.45245875497E-001, -5.33943490915E-001
+4.00078007801E+009, -4.49345682354E-001, -5.30672147953E-001
+4.00080008001E+009, -4.53199004745E-001, -5.27386388538E-001
+4.00082008201E+009, -4.57158384802E-001, -5.23983210441E-001
+4.00084008401E+009, -4.61074612471E-001, -5.20610787522E-001
+4.00086008601E+009, -4.64923768285E-001, -5.17161281921E-001
+4.00088008801E+009, -4.68769648145E-001, -5.13704108638E-001
+4.00090009001E+009, -4.72723580704E-001, -5.10217046173E-001
+4.00092009201E+009, -4.76488129196E-001, -5.06787491692E-001
+4.00094009401E+009, -4.80261436635E-001, -5.03276834655E-001
+4.00096009601E+009, -4.84002440749E-001, -4.99667520275E-001
+4.00098009801E+009, -4.87737853115E-001, -4.96082332837E-001
+4.00100010001E+009, -4.91393017628E-001, -4.92421276058E-001
+4.00102010201E+009, -4.95086917632E-001, -4.88809915625E-001
+4.00104010401E+009, -4.98844454791E-001, -4.85133667067E-001
+4.00106010601E+009, -5.02432166237E-001, -4.81471520511E-001
+4.00108010801E+009, -5.05999869650E-001, -4.77704998318E-001
+4.00110011001E+009, -5.09516761026E-001, -4.73929231771E-001
+4.00112011201E+009, -5.13099292295E-001, -4.70189903193E-001
+4.00114011401E+009, -5.16621617034E-001, -4.66314075326E-001
+4.00116011601E+009, -5.20132062522E-001, -4.62478199671E-001
+4.00118011801E+009, -5.23608700415E-001, -4.58635089155E-001
+4.00120012001E+009, -5.27032066621E-001, -4.54843942033E-001
+4.00122012201E+009, -5.30418249790E-001, -4.50973668412E-001
+4.00124012401E+009, -5.33845319304E-001, -4.46921208461E-001
+4.00126012601E+009, -5.37084256927E-001, -4.43043194986E-001
+4.00128012801E+009, -5.40492105485E-001, -4.39029552996E-001
+4.00130013001E+009, -5.43804873660E-001, -4.35021947140E-001
+4.00132013201E+009, -5.46982883280E-001, -4.30962295698E-001
+4.00134013401E+009, -5.50188026359E-001, -4.26893044694E-001
+4.00136013601E+009, -5.53348038443E-001, -4.22764515779E-001
+4.00138013801E+009, -5.56466933894E-001, -4.18682559028E-001
+4.00140014001E+009, -5.59730360631E-001, -4.14626265642E-001
+4.00142014201E+009, -5.62745212529E-001, -4.10402829408E-001
+4.00144014401E+009, -5.65891169254E-001, -4.06223244511E-001
+4.00146014601E+009, -5.68882882580E-001, -4.02026968760E-001
+4.00148014801E+009, -5.71955112816E-001, -3.97780245273E-001
+4.00150015002E+009, -5.74863584206E-001, -3.93598417398E-001
+4.00152015202E+009, -5.77829695238E-001, -3.89319248450E-001
+4.00154015402E+009, -5.80706490930E-001, -3.84989573222E-001
+4.00156015602E+009, -5.83689183174E-001, -3.80718508407E-001
+4.00158015802E+009, -5.86526529521E-001, -3.76378916739E-001
+4.00160016002E+009, -5.89292619388E-001, -3.72049307195E-001
+4.00162016202E+009, -5.92146703541E-001, -3.67634933815E-001
+4.00164016402E+009, -5.94763378329E-001, -3.63305303394E-001
+4.00166016602E+009, -5.97565127112E-001, -3.58884537137E-001
+4.00168016802E+009, -6.00162340320E-001, -3.54354233172E-001
+4.00170017002E+009, -6.02964690920E-001, -3.49928377925E-001
+4.00172017202E+009, -6.05586233429E-001, -3.45431450381E-001
+4.00174017402E+009, -6.08168539178E-001, -3.40914663488E-001
+4.00176017602E+009, -6.10617676035E-001, -3.36383719464E-001
+4.00178017802E+009, -6.13159405994E-001, -3.31865860083E-001
+4.00180018002E+009, -6.15524584187E-001, -3.27269461709E-001
+4.00182018202E+009, -6.18155620465E-001, -3.22789821689E-001
+4.00184018402E+009, -6.20625128873E-001, -3.18208324346E-001
+4.00186018602E+009, -6.22892342010E-001, -3.13540184558E-001
+4.00188018802E+009, -6.25240787283E-001, -3.08898916832E-001
+4.00190019002E+009, -6.27571985855E-001, -3.04237964150E-001
+4.00192019202E+009, -6.29838444044E-001, -2.99523532796E-001
+4.00194019402E+009, -6.32124530220E-001, -2.94789676325E-001
+4.00196019602E+009, -6.34416750585E-001, -2.90148761540E-001
+4.00198019802E+009, -6.36598985804E-001, -2.85484352478E-001
+4.00200020002E+009, -6.38723009620E-001, -2.80696730156E-001
+4.00202020202E+009, -6.40747631146E-001, -2.75905653465E-001
+4.00204020402E+009, -6.42803360229E-001, -2.71150591615E-001
+4.00206020602E+009, -6.44870840955E-001, -2.66364907339E-001
+4.00208020802E+009, -6.46919459267E-001, -2.61554091977E-001
+4.00210021002E+009, -6.48982340291E-001, -2.56715328911E-001
+4.00212021202E+009, -6.50968051251E-001, -2.51873934029E-001
+4.00214021402E+009, -6.52707965860E-001, -2.47060583853E-001
+4.00216021602E+009, -6.54518677265E-001, -2.42233650327E-001
+4.00218021802E+009, -6.56361725433E-001, -2.37339010396E-001
+4.00220022002E+009, -6.58126846124E-001, -2.32456439561E-001
+4.00222022202E+009, -6.59948430403E-001, -2.27592264440E-001
+4.00224022402E+009, -6.61566087022E-001, -2.22600119951E-001
+4.00226022602E+009, -6.63300960050E-001, -2.17754779569E-001
+4.00228022802E+009, -6.64864309055E-001, -2.12781755186E-001
+4.00230023002E+009, -6.66479276546E-001, -2.07851895130E-001
+4.00232023202E+009, -6.68001040754E-001, -2.02888312525E-001
+4.00234023402E+009, -6.69565916569E-001, -1.97852892665E-001
+4.00236023602E+009, -6.71048811853E-001, -1.92897927131E-001
+4.00238023802E+009, -6.72545322343E-001, -1.87847458059E-001
+4.00240024002E+009, -6.73970674723E-001, -1.82893783987E-001
+4.00242024202E+009, -6.75351574144E-001, -1.77850615383E-001
+4.00244024402E+009, -6.76768031510E-001, -1.72809794698E-001
+4.00246024602E+009, -6.78024788160E-001, -1.67820575046E-001
+4.00248024802E+009, -6.79373392809E-001, -1.62816284621E-001
+4.00250025003E+009, -6.80495052400E-001, -1.57796130648E-001
+4.00252025203E+009, -6.81774180467E-001, -1.52591232680E-001
+4.00254025403E+009, -6.82833753329E-001, -1.47537309431E-001
+4.00256025603E+009, -6.83915627134E-001, -1.42467539731E-001
+4.00258025803E+009, -6.85039014192E-001, -1.37290364930E-001
+4.00260026003E+009, -6.86092686841E-001, -1.32284690387E-001
+4.00262026203E+009, -6.87091604020E-001, -1.27106409808E-001
+4.00264026403E+009, -6.88047187283E-001, -1.21959833469E-001
+4.00266026603E+009, -6.88901693639E-001, -1.16832142471E-001
+4.00268026803E+009, -6.89702421464E-001, -1.11735114133E-001
+4.00270027003E+009, -6.90726850198E-001, -1.06514338348E-001
+4.00272027203E+009, -6.91499014771E-001, -1.01361837381E-001
+4.00274027403E+009, -6.92279451430E-001, -9.63003385721E-002
+4.00276027603E+009, -6.92965805504E-001, -9.11330284269E-002
+4.00278027803E+009, -6.93717637143E-001, -8.59496337578E-002
+4.00280028003E+009, -6.94380110783E-001, -8.07288607461E-002
+4.00282028203E+009, -6.95012978058E-001, -7.55302456509E-002
+4.00284028403E+009, -6.95540099945E-001, -7.03867301352E-002
+4.00286028603E+009, -6.96086546458E-001, -6.51094231685E-002
+4.00288028803E+009, -6.96633033306E-001, -5.99599633004E-002
+4.00290029003E+009, -6.97072484692E-001, -5.47484326431E-002
+4.00292029203E+009, -6.97486191293E-001, -4.95152437745E-002
+4.00294029403E+009, -6.97741028999E-001, -4.44009220454E-002
+4.00296029603E+009, -6.98042369277E-001, -3.91681518805E-002
+4.00298029803E+009, -6.98340592550E-001, -3.40308195325E-002
+4.00300030003E+009, -6.98795484589E-001, -2.87770168315E-002
+4.00302030203E+009, -6.98993855707E-001, -2.35840031980E-002
+4.00304030403E+009, -6.99101050175E-001, -1.83886221211E-002
+4.00306030603E+009, -6.99222961989E-001, -1.31791519592E-002
+4.00308030803E+009, -6.99473564030E-001, -7.86690424620E-003
+4.00310031003E+009, -6.99496224748E-001, -2.55937935599E-003
+4.00312031203E+009, -6.99627047135E-001, +2.68986937280E-003
+4.00314031403E+009, -6.99643730710E-001, +7.88277392018E-003
+4.00316031603E+009, -6.99604469851E-001, +1.30748776439E-002
+4.00318031803E+009, -6.99357031673E-001, +1.82844885881E-002
+4.00320032003E+009, -6.99137866689E-001, +2.35697327948E-002
+4.00322032203E+009, -6.99108736838E-001, +2.87228678598E-002
+4.00324032403E+009, -6.98922144424E-001, +3.39235237760E-002
+4.00326032603E+009, -6.98690416721E-001, +3.91439675137E-002
+4.00328032803E+009, -6.98423917881E-001, +4.43577308008E-002
+4.00330033003E+009, -6.98113809693E-001, +4.96149563946E-002
+4.00332033203E+009, -6.97661005154E-001, +5.48293800340E-002
+4.00334033403E+009, -6.97302400146E-001, +6.00574686090E-002
+4.00336033603E+009, -6.96846957150E-001, +6.52864111432E-002
+4.00338033803E+009, -6.96420554714E-001, +7.04854254066E-002
+4.00340034003E+009, -6.95905302920E-001, +7.57100677777E-002
+4.00342034203E+009, -6.95330532775E-001, +8.08283075441E-002
+4.00344034403E+009, -6.94749198961E-001, +8.60698067089E-002
+4.00346034603E+009, -6.94072892872E-001, +9.11310822678E-002
+4.00348034803E+009, -6.93371682579E-001, +9.63811263654E-002
+4.00350035004E+009, -6.92657178671E-001, +1.01563688286E-001
+4.00352035204E+009, -6.91978118809E-001, +1.06825902465E-001
+4.00354035404E+009, -6.91147334245E-001, +1.12010179965E-001
+4.00356035604E+009, -6.90389180895E-001, +1.17200927550E-001
+4.00358035804E+009, -6.89443754998E-001, +1.22293592010E-001
+4.00360036004E+009, -6.88455081835E-001, +1.27411414295E-001
+4.00362036204E+009, -6.87481850415E-001, +1.32489932003E-001
+4.00364036404E+009, -6.86530376558E-001, +1.37716019250E-001
+4.00366036604E+009, -6.85591235759E-001, +1.42866921559E-001
+4.00368036804E+009, -6.84522210404E-001, +1.47991187777E-001
+4.00370037004E+009, -6.83472378258E-001, +1.53131976563E-001
+4.00372037204E+009, -6.82223543106E-001, +1.58171998672E-001
+4.00374037404E+009, -6.81066181483E-001, +1.63295212264E-001
+4.00376037604E+009, -6.79832001493E-001, +1.68377610135E-001
