"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.00000000000E+009, -5.50713345681E-001, +4.46753218064E-001
+6.00002000200E+009, -5.49920644790E-001, +4.59990927409E-001
+6.00004000400E+009, -5.48196986965E-001, +4.75188240861E-001
+6.00006000600E+009, -5.44805025407E-001, +4.89496635664E-001
+6.00008000800E+009, -5.39791898716E-001, +5.04606980631E-001
+6.00010001000E+009, -5.32882136805E-001, +5.19320192870E-001
+6.00012001200E+009, -5.23894127439E-001, +5.35800867724E-001
+6.00014001400E+009, -5.12134287148E-001, +5.52229519592E-001
+6.00016001600E+009, -4.97418249643E-001, +5.68004633163E-001
+6.00018001800E+009, -4.79368230369E-001, +5.81416290800E-001
+6.00020002000E+009, -4.58004765537E-001, +5.91011550657E-001
+6.00022002200E+009, -4.34160789921E-001, +5.96579839853E-001
+6.00024002400E+009, -4.09563026726E-001, +5.96165966929E-001
+6.00026002600E+009, -3.85513785582E-001, +5.91250965962E-001
+6.00028002800E+009, -3.64988262401E-001, +5.80301914903E-001
+6.00030003000E+009, -3.49076718175E-001, +5.65516061502E-001
+6.00032003200E+009, -3.39627934780E-001, +5.47903575333E-001
+6.00034003400E+009, -3.36422226544E-001, +5.30529461855E-001
+6.00036003600E+009, -3.39188475978E-001, +5.14543568902E-001
+6.00038003800E+009, -3.45201205806E-001, +5.03088222973E-001
+6.00040004000E+009, -3.53862263050E-001, +4.96077421734E-001
+6.00042004200E+009, -3.62835918206E-001, +4.93509802460E-001
+6.00044004400E+009, -3.72060394711E-001, +4.94221587011E-001
+6.00046004600E+009, -3.80351084743E-001, +4.96559941878E-001
+6.00048004800E+009, -3.87517503131E-001, +5.01893947489E-001
+6.00050005001E+009, -3.93387753367E-001, +5.08083641313E-001
+6.00052005201E+009, -3.97649058533E-001, +5.17053680903E-001
+6.00054005401E+009, -4.00576174683E-001, +5.26405276539E-001
+6.00056005601E+009, -4.02462473648E-001, +5.37330789206E-001
+6.00058005801E+009, -4.03043014542E-001, +5.47911393754E-001
+6.00060006001E+009, -4.02286781475E-001, +5.58702714218E-001
+6.00062006201E+009, -4.00170164964E-001, +5.69674655393E-001
+6.00064006401E+009, -3.96754915410E-001, +5.81930777049E-001
+6.00066006601E+009, -3.91692860593E-001, +5.94697273517E-001
+6.00068006801E+009, -3.84474789567E-001, +6.08190038680E-001
+6.00070007001E+009, -3.74623328159E-001, +6.21437166303E-001
+6.00072007201E+009, -3.61988475093E-001, +6.31890486782E-001
+6.00074007401E+009, -3.46522486958E-001, +6.39514058643E-001
+6.00076007601E+009, -3.31319129587E-001, +6.41613178457E-001
