Detector,x,y,z_avg,z_150GHz,z_90GHz
1,-30.679978,53.139281,1.8715,1.812,1.931
2,-25.379978,53.139281,1.8715,1.812,1.931
3,-20.079978,53.139281,1.8715,1.812,1.931
4,-14.779978,53.139281,1.8715,1.812,1.931
5,-9.479978,53.139281,1.8715,1.812,1.931
6,-4.179978,53.139281,1.8715,1.812,1.931
7,1.120022,53.139281,1.8715,1.812,1.931
8,6.420022,53.139281,1.8715,1.812,1.931
9,11.720022,53.139281,1.8715,1.812,1.931
10,17.020022,53.139281,1.8715,1.812,1.931
11,22.320022,53.139281,1.8715,1.812,1.931
12,27.620022,53.139281,1.8715,1.812,1.931
13,-33.329978,48.549346,1.8715,1.812,1.931
14,-22.729978,48.549346,1.8715,1.812,1.931
15,-17.429978,48.549346,1.8715,1.812,1.931
16,-12.129978,48.549346,1.8715,1.812,1.931
17,-6.829978,48.549346,1.8715,1.812,1.931
18,-1.529978,48.549346,1.8715,1.812,1.931
19,3.770022,48.549346,1.8715,1.812,1.931
20,9.070022,48.549346,1.8715,1.812,1.931
21,14.370022,48.549346,1.8715,1.812,1.931
22,19.670022,48.549346,1.8715,1.812,1.931
23,24.970022,48.549346,1.8715,1.812,1.931
24,-35.979978,43.959412,1.8715,1.812,1.931
25,-30.679978,43.959412,1.8715,1.812,1.931
26,-25.379978,43.959412,1.8715,1.812,1.931
27,-20.079978,43.959412,1.8715,1.812,1.931
28,-14.779978,43.959412,1.8715,1.812,1.931
29,-9.479978,43.959412,1.8715,1.812,1.931
30,-4.179978,43.959412,1.8715,1.812,1.931
31,1.120022,43.959412,1.8715,1.812,1.931
32,6.420022,43.959412,1.8715,1.812,1.931
33,11.720022,43.959412,1.8715,1.812,1.931
34,17.020022,43.959412,1.8715,1.812,1.931
35,22.320022,43.959412,1.8715,1.812,1.931
36,-38.629978,39.369477,1.8715,1.812,1.931
37,-33.329978,39.369477,1.8715,1.812,1.931
38,-28.029978,39.369477,1.8715,1.812,1.931
39,-22.729978,39.369477,1.8715,1.812,1.931
40,-17.429978,39.369477,1.8715,1.812,1.931
41,-12.129978,39.369477,1.8715,1.812,1.931
42,-6.829978,39.369477,1.8715,1.812,1.931
43,-1.529978,39.369477,1.8715,1.812,1.931
44,3.770022,39.369477,1.8715,1.812,1.931
45,9.070022,39.369477,1.8715,1.812,1.931
46,14.370022,39.369477,1.8715,1.812,1.931
47,19.670022,39.369477,1.8715,1.812,1.931
48,-41.279978,34.779542,1.8715,1.812,1.931
49,-35.979978,34.779542,1.8715,1.812,1.931
50,-30.679978,34.779542,1.8715,1.812,1.931
51,-25.379978,34.779542,1.8715,1.812,1.931
52,-20.079978,34.779542,1.8715,1.812,1.931
53,-14.779978,34.779542,1.8715,1.812,1.931
54,-9.479978,34.779542,1.8715,1.812,1.931
55,-4.179978,34.779542,1.8715,1.812,1.931
56,1.120022,34.779542,1.8715,1.812,1.931
57,6.420022,34.779542,1.8715,1.812,1.931
58,11.720022,34.779542,1.8715,1.812,1.931
59,17.020022,34.779542,1.8715,1.812,1.931
60,-43.929978,30.189608,1.8715,1.812,1.931
61,-38.629978,30.189608,1.8715,1.812,1.931
62,-33.329978,30.189608,1.8715,1.812,1.931
63,-28.029978,30.189608,1.8715,1.812,1.931
64,-22.729978,30.189608,1.8715,1.812,1.931
65,-17.429978,30.189608,1.8715,1.812,1.931
66,-12.129978,30.189608,1.8715,1.812,1.931
67,-6.829978,30.189608,1.8715,1.812,1.931
68,-1.529978,30.189608,1.8715,1.812,1.931
69,3.770022,30.189608,1.8715,1.812,1.931
70,9.070022,30.189608,1.8715,1.812,1.931
71,14.370022,30.189608,1.8715,1.812,1.931
72,-46.579978,25.599673,1.8715,1.812,1.931
73,-41.279978,25.599673,1.8715,1.812,1.931
74,-35.979978,25.599673,1.8715,1.812,1.931
75,-30.679978,25.599673,1.8715,1.812,1.931
76,-25.379978,25.599673,1.8715,1.812,1.931
77,-20.079978,25.599673,1.8715,1.812,1.931
78,-14.779978,25.599673,1.8715,1.812,1.931
79,-9.479978,25.599673,1.8715,1.812,1.931
80,-4.179978,25.599673,1.8715,1.812,1.931
81,1.120022,25.599673,1.8715,1.812,1.931
82,6.420022,25.599673,1.8715,1.812,1.931
83,11.720022,25.599673,1.8715,1.812,1.931
84,-49.229978,21.009739,1.8715,1.812,1.931
85,-43.929978,21.009739,1.8715,1.812,1.931
86,-38.629978,21.009739,1.8715,1.812,1.931
87,-33.329978,21.009739,1.8715,1.812,1.931
88,-28.029978,21.009739,1.8715,1.812,1.931
89,-22.729978,21.009739,1.8715,1.812,1.931
90,-17.429978,21.009739,1.8715,1.812,1.931
91,-12.129978,21.009739,1.8715,1.812,1.931
92,-6.829978,21.009739,1.8715,1.812,1.931
93,-1.529978,21.009739,1.8715,1.812,1.931
94,3.770022,21.009739,1.8715,1.812,1.931
95,9.070022,21.009739,1.8715,1.812,1.931
96,-51.879978,16.419804,1.8715,1.812,1.931
97,-46.579978,16.419804,1.8715,1.812,1.931
98,-41.279978,16.419804,1.8715,1.812,1.931
99,-35.979978,16.419804,1.8715,1.812,1.931
100,-30.679978,16.419804,1.8715,1.812,1.931
101,-25.379978,16.419804,1.8715,1.812,1.931
102,-20.079978,16.419804,1.8715,1.812,1.931
103,-14.779978,16.419804,1.8715,1.812,1.931
104,-9.479978,16.419804,1.8715,1.812,1.931
105,-4.179978,16.419804,1.8715,1.812,1.931
106,1.120022,16.419804,1.8715,1.812,1.931
107,6.420022,16.419804,1.8715,1.812,1.931
108,-54.529978,11.829869,1.8715,1.812,1.931
109,-49.229978,11.829869,1.8715,1.812,1.931
110,-43.929978,11.829869,1.8715,1.812,1.931
111,-38.629978,11.829869,1.8715,1.812,1.931
112,-33.329978,11.829869,1.8715,1.812,1.931
113,-28.029978,11.829869,1.8715,1.812,1.931
114,-22.729978,11.829869,1.8715,1.812,1.931
115,-17.429978,11.829869,1.8715,1.812,1.931
116,-12.129978,11.829869,1.8715,1.812,1.931
117,-6.829978,11.829869,1.8715,1.812,1.931
118,-1.529978,11.829869,1.8715,1.812,1.931
119,3.770022,11.829869,1.8715,1.812,1.931
120,-57.179978,7.239935,1.8715,1.812,1.931
121,-51.879978,7.239935,1.8715,1.812,1.931
122,-46.579978,7.239935,1.8715,1.812,1.931
123,-41.279978,7.239935,1.8715,1.812,1.931
124,-35.979978,7.239935,1.8715,1.812,1.931
125,-30.679978,7.239935,1.8715,1.812,1.931
126,-25.379978,7.239935,1.8715,1.812,1.931
127,-20.079978,7.239935,1.8715,1.812,1.931
128,-14.779978,7.239935,1.8715,1.812,1.931
129,-9.479978,7.239935,1.8715,1.812,1.931
130,-4.179978,7.239935,1.8715,1.812,1.931
131,1.120022,7.239935,1.8715,1.812,1.931
132,-59.829978,2.65,1.8715,1.812,1.931
133,-54.529978,2.65,1.8715,1.812,1.931
134,-49.229978,2.65,1.8715,1.812,1.931
135,-43.929978,2.65,1.8715,1.812,1.931
136,-38.629978,2.65,1.8715,1.812,1.931
137,-33.329978,2.65,1.8715,1.812,1.931
138,-28.029978,2.65,1.8715,1.812,1.931
139,-22.729978,2.65,1.8715,1.812,1.931
140,-17.429978,2.65,1.8715,1.812,1.931
141,-12.129978,2.65,1.8715,1.812,1.931
142,-6.829978,2.65,1.8715,1.812,1.931
143,61.359956,0,1.8715,1.812,1.931
144,58.709956,-4.589935,1.8715,1.812,1.931
145,56.059956,-9.179869,1.8715,1.812,1.931
146,53.409956,-13.769804,1.8715,1.812,1.931
147,50.759956,-18.359739,1.8715,1.812,1.931
148,48.109956,-22.949673,1.8715,1.812,1.931
149,45.459956,-27.539608,1.8715,1.812,1.931
150,42.809956,-32.129542,1.8715,1.812,1.931
151,40.159956,-36.719477,1.8715,1.812,1.931
152,37.509956,-41.309412,1.8715,1.812,1.931
153,34.859956,-45.899346,1.8715,1.812,1.931
154,32.209956,-50.489281,1.8715,1.812,1.931
155,58.709956,4.589935,1.8715,1.812,1.931
156,56.059956,0,1.8715,1.812,1.931
157,53.409956,-4.589935,1.8715,1.812,1.931
158,50.759956,-9.179869,1.8715,1.812,1.931
159,48.109956,-13.769804,1.8715,1.812,1.931
160,45.459956,-18.359739,1.8715,1.812,1.931
161,42.809956,-22.949673,1.8715,1.812,1.931
162,40.159956,-27.539608,1.8715,1.812,1.931
163,37.509956,-32.129542,1.8715,1.812,1.931
164,34.859956,-36.719477,1.8715,1.812,1.931
165,32.209956,-41.309412,1.8715,1.812,1.931
166,29.559956,-45.899346,1.8715,1.812,1.931
167,56.059956,9.179869,1.8715,1.812,1.931
168,53.409956,4.589935,1.8715,1.812,1.931
169,50.759956,0,1.8715,1.812,1.931
170,48.109956,-4.589935,1.8715,1.812,1.931
171,45.459956,-9.179869,1.8715,1.812,1.931
172,42.809956,-13.769804,1.8715,1.812,1.931
173,40.159956,-18.359739,1.8715,1.812,1.931
174,37.509956,-22.949673,1.8715,1.812,1.931
175,34.859956,-27.539608,1.8715,1.812,1.931
176,32.209956,-32.129542,1.8715,1.812,1.931
177,29.559956,-36.719477,1.8715,1.812,1.931
178,26.909956,-41.309412,1.8715,1.812,1.931
