Band,Pad,Index,Design Frequency,Frequency Shift,UMM Frequency,UFM Frequency Shift
0,-1,0,4019000000,76387600.95,4095387601,-5000000
0,3,1,4020870714,75386618.29,4096257333,-5000000
0,7,2,4022741429,76251684.43,4098993113,-5000000
0,11,3,4024612143,76462957.03,4101075100,-5000000
0,15,4,4026482857,76352178.36,4102835036,-5000000
0,19,5,4028353571,77650897.93,4106004469,-5000000
0,23,6,4030224286,78487228.12,4108711514,-5000000
0,27,7,4032095000,79107303.22,4111202303,-5000000
0,31,8,4033965714,79177547.17,4113143261,-5000000
0,35,9,4035836429,79289998.58,4115126427,-5000000
0,39,10,4037707143,78453210.09,4116160353,-5000000
0,47,12,4041448571,75167985.71,4116616557,-5000000
0,51,13,4043319286,73568194.23,4116887480,-5000000
0,55,14,4045190000,72085903.53,4117275904,-5000000
0,59,15,4047060714,70359916.58,4117420631,-5000000
0,63,16,4048931429,68814997.23,4117746426,-5000000
0,1,17,4052653571,75430023.97,4128083595,-5000000
0,5,18,4054524286,75691469.96,4130215756,-5000000
0,9,19,4056395000,76054360.88,4132449361,-5000000
0,13,20,4058265714,76358373.12,4134624087,-5000000
0,17,21,4060136429,77251693.05,4137388122,-5000000
0,21,22,4062007143,78017873.98,4140025017,-5000000
0,25,23,4063877857,78743010,4142620867,-5000000
0,29,24,4065748571,79251670.15,4145000242,-5000000
0,33,25,4067619286,79634165.8,4147253452,-5000000
0,41,27,4071360714,77335401.14,4148696115,-5000000
0,45,28,4073231429,76383532.93,4149614961,-5000000
0,53,30,4076972857,72623954.06,4149596811,-5000000
0,57,31,4078843571,71189702.18,4150033274,-5000000
0,0,33,4084714286,84590904.47,4169305190,-5000000
0,4,34,4086585000,83319549.65,4169904550,-5000000
0,8,35,4088455714,83665928.38,4172121643,-5000000
0,12,36,4090326429,83913805.15,4174240234,-5000000
0,16,37,4092197143,84679564.76,4176876708,-5000000
0,20,38,4094067857,85744693.47,4179812551,-5000000
0,24,39,4095938571,86097502.95,4182036074,-5000000
0,28,40,4097809286,86603579.32,4184412865,-5000000
0,32,41,4099680000,85238763.05,4184918763,-5000000
0,36,42,4101550714,84054848.69,4185605563,-5000000
0,40,43,4103421429,82783771.81,4186205200,-5000000
0,44,44,4105292143,81625492.77,4186917636,-5000000
0,48,45,4107162857,79945287.3,4187108144,-5000000
0,52,46,4109033571,78487400.32,4187520972,-5000000
0,56,47,4110904286,76953916.09,4187858202,-5000000
