cold_load_temp,bias_line,band,data_path
8.1,6,all,/data/smurf_data/20201112/1605151172/outputs/1605213845_iv_raw_data.npy
8.1,7,all,/data/smurf_data/20201112/1605151172/outputs/1605213951_iv_raw_data.npy
8.1,8,all,/data/smurf_data/20201112/1605151172/outputs/1605214211_iv_raw_data.npy
8.1,9,all,/data/smurf_data/20201112/1605151172/outputs/1605214396_iv_raw_data.npy
8.1,10,all,/data/smurf_data/20201112/1605151172/outputs/1605214509_iv_raw_data.npy
8.1,11,all,/data/smurf_data/20201112/1605151172/outputs/1605214730_iv_raw_data.npy
11,6,all,/data/smurf_data/20201112/1605151172/outputs/1605217239_iv_raw_data.npy
11,7,all,/data/smurf_data/20201112/1605151172/outputs/1605217344_iv_raw_data.npy
11,8,all,/data/smurf_data/20201112/1605151172/outputs/1605217608_iv_raw_data.npy
11,9,all,/data/smurf_data/20201112/1605151172/outputs/1605217783_iv_raw_data.npy
11,10,all,/data/smurf_data/20201112/1605151172/outputs/1605217884_iv_raw_data.npy
11,11,all,/data/smurf_data/20201112/1605151172/outputs/1605218103_iv_raw_data.npy
14,6,all,/data/smurf_data/20201112/1605151172/outputs/1605220874_iv_raw_data.npy
14,7,all,/data/smurf_data/20201112/1605151172/outputs/1605220974_iv_raw_data.npy
14,8,all,/data/smurf_data/20201112/1605151172/outputs/1605221231_iv_raw_data.npy
14,9,all,/data/smurf_data/20201112/1605151172/outputs/1605221399_iv_raw_data.npy
14,10,all,/data/smurf_data/20201112/1605151172/outputs/1605221504_iv_raw_data.npy
14,11,all,/data/smurf_data/20201112/1605151172/outputs/1605221714_iv_raw_data.npy
17,6,all,/data/smurf_data/20201112/1605151172/outputs/1605224783_iv_raw_data.npy
17,7,all,/data/smurf_data/20201112/1605151172/outputs/1605224887_iv_raw_data.npy
17,8,all,/data/smurf_data/20201112/1605151172/outputs/1605225148_iv_raw_data.npy
17,9,all,/data/smurf_data/20201112/1605151172/outputs/1605225318_iv_raw_data.npy
17,10,all,/data/smurf_data/20201112/1605151172/outputs/1605225420_iv_raw_data.npy
17,11,all,/data/smurf_data/20201112/1605151172/outputs/1605225636_iv_raw_data.npy
20,6,all,/data/smurf_data/20201112/1605151172/outputs/1605228915_iv_raw_data.npy
20,7,all,/data/smurf_data/20201112/1605151172/outputs/1605229015_iv_raw_data.npy
20,8,all,/data/smurf_data/20201112/1605151172/outputs/1605229270_iv_raw_data.npy
20,9,all,/data/smurf_data/20201112/1605151172/outputs/1605229442_iv_raw_data.npy
20,10,all,/data/smurf_data/20201112/1605151172/outputs/1605229546_iv_raw_data.npy
20,11,all,/data/smurf_data/20201112/1605151172/outputs/1605229760_iv_raw_data.npy
