smurf_band,smurf_chan,mux_band,mux_pad
0,271,1,27
0,47,1,27
0,111,1,31
0,303,1,39
0,367,1,47
0,431,1,51
0,31,1,55
0,95,1,63
0,287,1,63
0,63,1,1
0,319,1,9
0,383,1,21
0,0,1,29
0,64,1,29
0,256,1,29
0,32,1,45
0,96,1,49
0,160,1,49
0,288,1,57
0,16,1,61
0,80,1,61
0,272,1,0
0,336,1,0
0,48,1,8
0,304,1,24
0,8,1,28
0,72,1,28
0,296,1,56
0,24,1,64
0,88,1,64
0,56,1,26
0,120,1,26
0,312,1,26
0,376,1,34
0,260,1,54
0,36,1,62
0,100,1,62
0,164,1,62
0,292,1,62
0,356,1,62
0,420,2,-1
0,20,2,-1
0,276,2,7
0,340,2,11
0,52,2,23
0,308,2,31
0,372,2,35
0,12,2,47
0,268,2,55
0,332,2,55
0,396,2,59
0,44,2,59
0,300,2,63
0,364,2,5
0,28,2,9
0,92,2,13
0,284,2,29
0,60,2,33
0,2,2,57
0,66,2,57
0,258,2,61
0,34,2,0
0,290,2,8
0,354,2,20
0,18,2,24
0,82,2,28
0,274,2,32
0,338,2,36
0,402,2,44
0,306,2,56
0,370,2,60
0,10,2,60
0,74,2,60
0,42,2,18
0,298,2,26
0,362,2,30
0,426,2,34
0,26,2,38
0,90,2,46
0,58,2,62
0,314,3,-1
0,6,3,-1
0,70,3,3
0,134,3,3
0,198,3,7
0,262,3,11
0,38,3,23
0,294,3,47
1,57,3,63
1,313,3,5
1,377,3,9
1,5,3,13
1,69,3,21
1,261,3,25
1,325,3,25
1,389,3,37
1,37,3,41
1,101,3,49
1,301,3,0
1,29,3,0
1,93,3,0
1,157,3,0
1,285,3,0
1,349,3,0
1,317,3,20
1,3,3,24
1,67,3,32
1,259,3,52
1,35,3,56
1,99,3,56
1,291,3,2
1,355,3,2
1,19,3,2
1,307,3,34
1,371,3,46
1,11,3,58
1,75,3,62
1,267,3,62
1,299,4,3
1,27,4,3
1,91,4,7
1,155,4,11
1,219,4,15
1,283,4,19
1,315,4,35
1,7,4,43
1,71,4,43
1,263,4,47
1,39,4,1
1,103,4,1
1,295,4,13
1,359,4,17
1,423,4,17
1,23,4,25
1,87,4,29
1,55,4,37
1,15,4,53
1,79,4,53
1,143,4,57
1,271,4,61
1,335,4,61
1,47,4,61
1,303,4,16
1,31,4,24
1,95,4,24
1,319,4,44
1,383,4,48
1,447,4,48
1,0,4,52
1,64,4,52
1,256,4,60
1,288,4,22
1,272,4,38
1,48,4,42
1,112,4,46
1,176,4,46
1,304,4,46
1,368,4,50
1,8,4,50
1,264,4,54
1,328,4,54
1,40,4,58
1,104,4,58
1,24,4,62
1,280,4,62
1,344,4,62
1,408,4,62
1,56,4,62
1,120,5,-1
1,312,5,-1
1,376,5,-1
1,4,5,-1
1,68,5,-1
1,260,5,3
1,324,5,3
1,292,5,23
1,276,5,51
1,340,5,55
1,404,5,59
1,52,5,59
1,12,5,5
1,76,5,5
1,140,5,5
1,268,5,21
1,300,5,53
1,28,5,53
1,284,5,61
1,60,5,61
1,258,5,16
1,34,5,44
1,290,5,48
1,274,5,64
1,50,6,-1
1,298,5,50
1,26,6,35
1,90,5,54
1,282,5,62
1,346,6,39
1,410,6,47
1,58,6,47
1,122,6,51
1,186,6,51
1,314,6,55
1,378,6,59
1,6,6,5
1,262,6,17
1,38,6,21
1,294,6,25
1,358,6,25
