Band,Pad,Subband,Freq-index,Design Frequency,Frequency Shift
0,-1,a0,0,4019000000,0
0,0,c0,33,4084714286,0
0,1,b0,17,4052653571,0
0,2,d0,50,4118367857,0
0,3,a1,1,4020870714,0
0,4,c1,34,4086585000,0
0,5,b1,18,4054524286,0
0,6,d1,51,4120238571,0
0,7,a2,2,4022741429,0
0,8,c2,35,4088455714,0
0,9,b2,19,4056395000,0
0,10,d2,52,4122109286,0
0,11,a3,3,4024612143,0
0,12,c3,36,4090326429,0
0,13,b3,20,4058265714,0
0,14,d3,53,4123980000,0
0,15,a4,4,4026482857,0
0,16,c4,37,4092197143,0
0,17,b4,21,4060136429,0
0,18,d4,54,4125850714,0
0,19,a5,5,4028353571,0
0,20,c5,38,4094067857,0
0,21,b5,22,4062007143,0
0,22,d5,55,4127721429,0
0,23,a6,6,4030224286,0
0,24,c6,39,4095938571,0
0,25,b6,23,4063877857,0
0,26,d6,56,4129592143,0
0,27,a7,7,4032095000,0
0,28,c7,40,4097809286,0
0,29,b7,24,4065748571,0
0,30,d7,57,4131462857,0
0,31,a8,8,4033965714,0
0,32,c8,41,4099680000,0
0,33,b8,25,4067619286,0
0,34,d8,58,4133333571,0
0,35,a9,9,4035836429,0
0,36,c9,42,4101550714,0
0,37,b9,26,4069490000,0
0,38,d9,59,4135204286,0
0,39,a10,10,4037707143,0
0,40,c10,43,4103421429,0
0,41,b10,27,4071360714,0
0,42,d10,60,4137075000,0
0,43,a11,11,4039577857,0
0,44,c11,44,4105292143,0
0,45,b11,28,4073231429,0
0,46,d11,61,4138945714,0
0,47,a12,12,4041448571,0
0,48,c12,45,4107162857,0
0,49,b12,29,4075102143,0
0,50,d12,62,4140816429,0
0,51,a13,13,4043319286,0
0,52,c13,46,4109033571,0
0,53,b13,30,4076972857,0
0,54,d13,63,4142687143,0
0,55,a14,14,4045190000,0
0,56,c14,47,4110904286,0
0,57,b14,31,4078843571,0
0,58,d14,64,4144557857,0
0,59,a15,15,4047060714,0
0,60,c15,48,4112775000,0
0,61,b15,32,4080714286,0
0,62,d15,65,4146428571,0
0,63,a16,16,4048931429,0
0,64,c16,49,4114645714,0
1,-1,a0,0,4152428571,0
1,0,c0,33,4218142857,0
1,1,b0,17,4186082143,0
1,2,d0,50,4251796429,0
1,3,a1,1,4154299286,0
1,4,c1,34,4220013571,0
1,5,b1,18,4187952857,0
1,6,d1,51,4253667143,0
1,7,a2,2,4156170000,0
1,8,c2,35,4221884286,0
1,9,b2,19,4189823571,0
1,10,d2,52,4255537857,0
1,11,a3,3,4158040714,0
1,12,c3,36,4223755000,0
1,13,b3,20,4191694286,0
1,14,d3,53,4257408571,0
1,15,a4,4,4159911429,0
1,16,c4,37,4225625714,0
1,17,b4,21,4193565000,0
1,18,d4,54,4259279286,0
1,19,a5,5,4161782143,0
1,20,c5,38,4227496429,0
1,21,b5,22,4195435714,0
1,22,d5,55,4261150000,0
1,23,a6,6,4163652857,0
1,24,c6,39,4229367143,0
1,25,b6,23,4197306429,0
1,26,d6,56,4263020714,0
1,27,a7,7,4165523571,0
1,28,c7,40,4231237857,0
1,29,b7,24,4199177143,0
1,30,d7,57,4264891429,0
1,31,a8,8,4167394286,0
1,32,c8,41,4233108571,0
1,33,b8,25,4201047857,0
1,34,d8,58,4266762143,0
1,35,a9,9,4169265000,0
1,36,c9,42,4234979286,0
1,37,b9,26,4202918571,0
1,38,d9,59,4268632857,0
1,39,a10,10,4171135714,0
1,40,c10,43,4236850000,0
1,41,b10,27,4204789286,0
