2.03054	0.836660194		
2.081303	0.799805825					
2.132066	0.818252427						
2.182829	0.877427184						
2.233592	0.898038835						
2.284355	0.785728155						
2.335118	0.807796117						
2.385881	0.836194175						
2.436644	0.83707767						
2.487407	0.823961165						
2.53817	0.84768932						
2.588933	0.91261165						
2.639696	0.930446602						
2.690459	0.932407767						
2.741222	0.961242718						
2.791985	0.986067961						
2.842748	0.989378641						
2.893511	0.996242718						
2.944274	0.984660194						
2.995037	0.97707767						
3.0458	0.995097087						
3.096563	0.978165049						
3.147326	0.957087379						
3.198089	0.938281553						
3.248852	0.925660194						
3.299615	0.908106796						
3.350378	0.925640777						
3.401141	0.943300971						
3.451904	0.915466019						
3.502667	0.93431068						
3.55343	0.930359223						
3.604193	0.950407767						
3.654956	0.931417476						
3.705719	0.938854369						
3.756482	0.979757282						
3.807245	0.969436893						
3.858008	0.992213592						
3.908771	0.985514563						
3.959534	0.99615534						
4.010297	0.988407767						
4.06106	0.97792233						
4.111823	0.991087379						
4.162586	0.983679612						
4.213349	0.97207767						
4.264112	0.960524272						
4.314875	0.957669903						
4.365638	0.957194175						
4.416401	0.945048544						
4.467164	0.941262136						
4.517927	0.947281553						
4.56869	0.961572816						
4.619453	0.956563107						
4.670216	0.940543689						
4.720979	0.955864078						
4.771742	0.977320388						
4.822505	0.974339806						
4.873268	0.973097087						
4.924031	0.977650485						
4.974794	0.976067961						
5.025557	0.96923301						
5.07632	0.970621359						
5.127083	0.970504854						
5.177846	0.949427184						
5.228609	0.932330097						
5.279372	0.94576699						
5.330135	0.956087379						
5.380898	0.927330097						
5.431661	0.901097087						
5.482424	0.911495146						
5.533187	0.937213592						
5.58395	0.925135922						
5.634713	0.905446602						
5.685476	0.924737864						
5.736239	0.946427184						
5.787002	0.950572816						
5.837765	0.942805825						
5.888528	0.941038835						
5.939291	0.954553398						
5.990054	0.960330097						
6.040817	0.967553398						
6.09158	0.956058252						
6.142343	0.927067961						
6.193106	0.921883495						
6.243869	0.929135922						
6.294632	0.907174757						
6.345395	0.870165049						
6.396158	0.849359223						
6.446921	0.864970874						
6.497684	0.88884466						
6.548447	0.852543689						
6.59921	0.826514563						
6.649973	0.862543689						
6.700736	0.88415534						
6.751499	0.861961165						
6.802262	0.858058252						
6.853025	0.879708738						
6.903788	0.897427184						
6.954551	0.904631068						
7.005314	0.910699029						
7.056077	0.907582524						
7.10684	0.890368932						
7.157603	0.877601942						
7.208366	0.867834951						
7.259129	0.835165049						
7.309892	0.788582524						
7.360655	0.755194175						
7.411418	0.738640777						
7.462181	0.723776699						
7.512944	0.697572816						
7.563707	0.680873786						
7.61447	0.685533981						
7.665233	0.705019417						
7.715996	0.712359223						
7.766759	0.718572816						
7.817522	0.742009709						
7.868285	0.759650485						
7.919048	0.751951456						
7.969811	0.712679612						
8.020574	0.641815534						
8.071337	0.551747573						
8.1221	0.462980583						
8.172863	0.381398058						
8.223626	0.303776699						
8.274389	0.238174757						
8.325152	0.19007767						
8.375915	0.150932039						
8.426678	0.117572816						
8.477441	0.092097087						
8.528204	0.073757282						
8.578967	0.06084466						
8.62973	0.050737864						
8.680493	0.041669903						
8.731256	0.033776699						
8.782019	0.027456311						
8.832782	0.022029126						
8.883545	0.018592233						
8.934308	0.016893204						
8.985071	0.015252427						
9.035834	0.013854369						
9.086597	0.012631068						
9.13736	0.012019417						
9.188123	0.011553398						
9.238886	0.010514563						
9.289649	0.009563107						
9.340412	0.009339806						
9.391175	0.009252427						
9.441938	0.009174757						
9.492701	0.009097087						
9.543464	0.009145631						
9.594227	0.00884466						
9.64499	0.008883495						
9.695753	0.008640777						
9.746516	0.009009709						
9.797279	0.009427184						
9.848042	0.008951456						
9.898805	0.008864078						
9.949568	0.008776699						
10.000331	0.008456311						
10.051094	0.008456311						
10.101857	0.008543689						
10.15262	0.008747573						
10.203383	0.008514563						
10.254146	0.007854369						
10.304909	0.007019417						
10.355672	0.006407767						
10.406435	0.006213592						
10.457198	0.005912621						
10.507961	0.00568932						
10.558724	0.005970874						
10.609487	0.006883495						
10.66025	0.007582524						
10.711013	0.00761165						
10.761776	0.008126214						
10.812539	0.008533981						
10.863302	0.009485437						
10.914065	0.01092233						
10.964828	0.012504854						
11.015591	0.014359223						
